"laoguoyin:yapin","chars","freq_chars"
"ch5","侙掣敕勑卙叱尺彳抶斥沏淔湁濕蚸䜉赤趩跅跮䤲飭鶒鷘吃喫","尺吃喫赤斥飭"
"cha1","叉杈扠差喳差㤞搽𤶠𥥸𦉆䐤","叉差"
"cha2","垞塗㡸㢉㢒查楂苴茶荼槎搽","茶搽查"
"cha4","奼䖳岔搾汊侘衩詫䛽","詫岔䛽"
"cha5","偞剎插喢察扱摖檫疀𦑣䕓詧䶪䛽擦","插䛽察擦剎"
"chai1","差釵麡","差釵"
"chai2","儕喍柴祡豺齜","柴豺儕"
"chan1","幨惉梴欃𤎥𥰨緂脠虦鉆饞攙","攙"
"chan2","廛巉攙毚潺孱儳劖瀍烻獑磛纔𧔊誗躔酁燀纏饞蟬","纏饞纔蟬"
"chan3","丳嘽僤𠐩剗剷囅嵼幝嶘㯆滻灛產簅𦅗蕆諂譂讇䤘闡鏟懺","產鏟剷懺"
"chan4","嚵嵁懺硟讖韂瀺嶄嶃僝鑱","懺"
"chang1","倀倡昌猖菖𦳝䗅閶鯧鼚娼","昌倡娼"
"chang2","常嫦償嘗徜場腸萇長鱨塲","常嘗嫦償腸場塲長"
"chang3","廠昶𢠵敞氅鋹𪁺場塲","敞廠場塲"
"chang4","唱悵暢淌漴畼韔瑒鬯倡","唱倡暢悵"
"chau1","鈔嘲怊弨抄超䫸䰫","鈔抄超嘲"
"chau2","𡏮巢漅𡻝朝樔潮祒䜈轈鄛䲀鼂晁","朝潮巢"
"chau3","吵炒煼謅麨𪍑","吵炒"
"chau4","耖朓趠踔㑿鈔","鈔"
"chê1","硨車","車"
"chê3","扯䞣","扯"
"che5","坼拆斥撤","斥拆撤"
"chê5","㙷㒤呫㚲徹㤴撤㯙澈𦔮𦯍𧏰詀謵輒轍鮿","撤"
"chen1","參岑嵾棽琛嗔瞋𥤇綝䐜䑣郴","參"
"chen2","塵宸嶜沈忱煁愖湛捵攙晨梣橬沉涔瘎臣莐諶辰陳𩂢霃𩻛麎岑","岑晨沉臣辰陳塵"
"chen4","疢儭櫬襯趁闖齓","櫬襯趁"
"cheng1","稱凈堘掙掁撐棦槍橕檉琤竀赬䟓䟫鎗頳偁撑蟶","稱撐撑蟶"
"cheng2","承憕橙呈成誠城筬盛丞乘澄宬徵懲朾棖浾溗澂珹珵睖程䆵脭蟶郕酲","成城誠盛乘丞承呈程橙澄"
"cheng3","庱悜𢟊𢜻浧逞騁","逞"
"cheng4","牚鋥秤覴遉㵾乘稱","乘稱秤"
"cheu1","妯惆抽搊犨篘𥻤啁","抽惆"
"cheu2","懤儔愁檮𣫐㵞疇瘳稠籌紬裯詶讎酬醻躊𨞪雔𩯦魗鯈䲖𪇘綢仇讐惆","愁籌躊綢酬仇讎讐惆"
"cheu3","杻瞅𥣙醜𩋄丑","丑醜瞅"
"cheu4","畜殠丑簉臭䔏","臭"
"cho5","戳婼綽䞣","戳"
"chong1","傭充冲𠟍忡㤝憧摏沖浺珫䂌舂憃茺𧐍䘪𧝎蹖𪄻衝","冲沖忡充舂衝"
"chong2","崇漴漎盅种翀蝩蟲爞蹱重","蟲崇重"
"chong3","寵𨿿衝","寵衝"
"chong4","銃揰","銃"
"chu1","初芻藸貙趎","初"
"chu2","儲媰屠廚涂䅳篨綢蒭蒢裯躕鋤雛齣除櫥躇","除廚櫥躇雛鋤"
"chu3","處岨杵楮楚濋礎𪓐齼処褚","楚礎處処杵褚"
"chu4","絮菆𨳳處処","處処"
"chu5","亍俶磩擉傗出怵梀歜滀琡畜㾁絀臅荲𧚖觸諔䟣𪘏鄐𨞕閦黜齣","出畜觸齣"
"chuai1","搋榱揣","揣"
"chuan1","巛川穿","川穿"
"chuan2","傳篅圌椽船","船椽傳"
"chuan3","喘腞舛荈𦺲𧍒","喘舛"
"chuan4","串踹僢𣀔篡諯釧","串"
"chuang1","牕摐瘡窗鬃創","窗瘡創"
"chuang2","幢淙床橦牀疒","床牀"
"chuang3","𠏨𠞮搶㼽磢闖","闖"
"chuang4","愴創剏憧𥈄撞","創撞"
"chuêi1","推吹炊","吹炊"
"chuêi2","垂陲倕鎚槌錘","槌鎚垂錘"
"chuen1","春杶椿焞輴鶞","春椿"
"chuen2","唇淳漘純脣醇錞鶉","脣唇純鶉"
"chuen3","偆惷睶𦚧蠢踳","蠢"
"chuo5","㚟婥㪬晫歠㲋浞𤿫躇辵𪗨齪","齪"
"ci1","妻凄悽淒霋萋棲","妻悽淒凄萋棲"
"ci2","臍蠐麡齊𪗏","齊臍"
"ci4","切砌","砌"
"ci5","刺咠𢜱慽戚柒桼漆潗磧磩緝諿赤䣛鏚鼜七","七柒漆戚"
"ciang1","將嶈斨槍爿瑲蹌鎗鏘鶬","槍鎗"
"ciang2","嬙廧戕檣牆薔蘠墻","墻牆"
"ciau2","憔樵潐譙𨝱瞧","瞧樵憔"
"ciau3","釥悄愀","悄"
"ciau4","俏峭㴥誚趭陗","俏誚"
"ciê5","切妾沏淁竊𧫕踥鯜","切妾竊"
"ciên1","仟僉兛千𡤷㡨扦櫏瓩竏簽籤粁芊谸遷𨝍阡韆籖","千遷韆僉簽籖"
"ciên2","灊前媊潛錢潜","前錢潜潛"
"ciên3","憸淺","淺"
"cieu1","楸楢秋篍萩蟗鞦鞧鰌鱃鶖𪓰","秋鞦"
"cieu2","崷蝤遒酋囚","囚酋"
"cin1","親侵梫祲駸","親侵"
"cin2","𤚩秦螓","秦"
"cin3","寝㾛寢","寢"
"cin4","沁親","親沁"
"cing1","青清圊淸靑鶄","青清"
"cing2","情晴䝼","情晴"
"cing3","靘請","請"
"cio5","㹱碏踖雀鵲","雀鵲"
"co1","差搓䣜瑳","搓"
"co5","𡍫娖溭矠簎粣茦䜺錯剒厝昔縒䱜","錯"
"cong1","囱𢊕怱悤璁緫聰葱蔥䕺蟌䡯驄匆從","匆怱葱蔥聰從"
"cong2","潀從从𢐔樅瑽瞛𥵫𪖁叢","從从叢"
"cu1","怚觕麤粗","粗麤"
"cü1","趨騶鯫蛆","趨蛆"
"cü3","且取娶","取娶"
"cu4","措醋錯","醋措"
"cü4","趣蜡","趣"
"cu5","促卒崒噈慼捽槭猝瘯䃗䃚簇縬蔟趗踧蹙蹴蹵鏃鑡","促"
"cüan1","悛佺痊竣詮荃銓駩","痊詮"
"cüan2","全恮泉牷筌純絟輇鐉","全泉"
"cuan4","竄鑹爨篡","竄篡"
"cuêi1","崔催摧漼衰𨻵","崔催衰"
"cuêi4","濢毳倅啐㝮悴淬焠瘁睟䄟粹綷縗翠脃臎橇膬萃顇賥","瘁翠粹悴啐"
"cuen1","村皴邨","村皴"
"cuen2","存踆𨚲𩀨","存"
"cuen3","刌忖","忖"
"cuo4","侳剉挫莝蓌","挫"
"da5","匒噠妲怛搭䐛榙炟笪答薘褡達韃䵣","搭答達"
"dai3","歹隶","歹"
"dai4","代埭岱帶𢄔廗待怠戴曃㯂殆㶔玳瑇㿃紿蔕𧊇袋襶詒貸蹛迨逮酨黛大","代袋貸戴黛帶待殆怠大玳"
"dan1","甔擔丹佔儋勯匰單担殫湛簞耽聸襌躭鄲酖","單躭耽丹擔"
"dan3","亶抌旦疸紞胆黕膽髧黵担","担胆膽"
"dan4","但狚憺澹僤憚啗啖淡噉彈𢠸澶笪萏蛋蜑蟺誕鉭霮鴠旦担擔","旦但担蛋誕淡彈憚擔"
"dang1","當璫簹艡蟷襠噹檔","當檔襠"
"dang3","党攩欓灙䣊黨愓擋","黨擋"
"dang4","當宕崵擋檔潒璗瓽盪𥯕簜蕩𦿆","當擋宕蕩盪"
"dau1","刀忉舠裯魛","刀"
"dau3","島倒㠀擣搗禱","倒島搗擣禱"
"dau4","到導悼盜稻纛菿蹈道倒盗","到倒道導蹈盜盗悼稻"
"de5","得德悳淂","德得"
"deng1","戥㲪燈登簦豋䳾","登燈"
"deng3","䔲等戥","等戥"
"deng4","凳墱僜嶝𣩟澄磴𨄇蹬鄧鐙隥瞪","凳瞪鄧澄"
"deu1","兜吺篼","兜"
"deu3","抖斗枓蚪陡","斗抖陡"
"deu4","浢瀆痘竇脰荳䛠讀豆𧱓逗郖餖鬥鬭","豆荳痘竇鬥鬭讀"
"di1","氐隄低彽磾羝鞮","低"
"di3","堤底弤柢抵牴疷菧觝軧邸阺","底抵"
"di4","娣地帝弟揥杕棣㼵碲禘第蒂蔕蝃螮摕諦䠠髢鷤𪖣遞","地弟第帝遞棣"
"di5","啇嚁嫡弔敵樀滌滴狄玓甋的笛篴糴𦉹翟苖荻菂踧蹢迪適䢮鍉鏑靮頔馰","的笛敵滴嫡狄滌"
"diau1","凋刁叼彫敦琱碉𥮐𦨣蛁貂雕鯛𩾗鵰鼦","刁叼凋雕貂"
"diau4","吊弔掉鵃蓧藋調釣銚","吊弔釣調掉"
"diê5","凸叠咥喋垤堞墆嵽惵昳疊柣㲲泆泜渫牃牒瓞碟窒絰耊耋聑胅艓苵荎蜨蝶螲褋褶諜跌跕蹀軼迭镻䳀䴑㩹","跌迭碟蝶牒疊叠㩹"
"diên1","傎𠑘巔掂敁槇滇癲𦕒詀蹎顚𩥄齻顛","顛巔癲"
"diên3","典奠点琠碘蒧蕇點玷","點玷典"
"diên4","墊店痁殿扂𣵦淀澱甸電靛佃惦奠","電墊店惦殿甸奠靛"
"ding1","釘奵丁仃叮玎疔","丁叮仃釘"
"ding3","打濎薡酊頂鼎","頂鼎"
"ding4","定矴碇腚錠靪顁飣訂釘靛","訂釘定靛錠"
"do1","多跢","多"
"do4","舵柁","柁舵"
"do5","度鐸踱","度"
"dong1","冬東苳涷鼕","東冬鼕"
"dong3","懂𢤦䂢箽董蕫","董懂"
"dong4","働動洞挏恫凍湩棟硐迵駉","洞動凍棟"
"du1","嘟都","都"
"du3","堵帾暏陼楮䀾睹肚覩賭","堵賭睹覩肚"
"du4","奼妒妬度杜渡稌芏荰蠹鍍肚","渡度鍍杜肚妒妬蠹"
"du5","匵噣嬻斁柮櫝殰毒瀆牘犢獨瓄督碡竺篤蝳裻襡讀讟豰贕鑟韇髑𪇆黷","讀毒獨督篤"
"duan1","剬堆端耑褍𧤗","端"
"duan4","斷椴煅段毈碫籪緞腶躖鍛","斷段緞"
"duêi1","搥磓追鎚䭔敦堆","堆"
"duêi4","兌娧憝對𡭊㟋奪㠚懟㬣濧瀢碓祋䇏薱銳䨴𩊭駾隊","對兌隊"
"duen1","敦墩惇弴䀫驐蹲","敦墩蹲"
"duen3","躉盾","躉"
"duen3","躉盾","盾"
"duen4","噸忳燉盾盹鈍頓遁","鈍頓盾遁"
"duo3","垛埵崜捶揣朵朶𥠄躱躲","朵朶躲"
"duo4","刴墮嶞惰桗𥳔䤻䲊剁跺","惰墮剁跺"
"duo5","掇咄剟凙剫奪敓敪毲澤脫莌裰鮵","奪"
"e5","厄呃啞戹扼㧖搹軛軶阨阸餩搤","厄呃扼"
"eu1","歐剾區嘔櫙甌謳䳼鷗","歐鷗區"
"eu3","𠙶毆塸敺嘔","嘔毆"
"fa5","乏伐垡栰法泛灋瞂珐琺疺發砝筏罰䑔藅閥髮髪","法伐筏發髪髮罰乏"
"fan1","藩凡墦幡𢬵旛橎𤃃燔犿璠番籓繙羳翻膰䒦蹯轓鐇䪤飜鱕旙帆","番翻繙旙帆"
"fan2","帆柉樊渢煩䀀礬繁蕃薠蘩蠜袢凡凢藩","凡凢煩繁藩帆樊礬"
"fan3","反㽹𪱠䡊返釩","反返"
"fan4","嬎梵汳泛氾汎犯畈笵範范𧍙販軓軬飯帆","飯販犯范範梵泛帆"
"fang1","匚坊方淓祊肪芳蚄鈁妨","方妨坊肪芳"
"fang2","房旊枋汸魴防肪坊","防肪房坊"
"fang3","仿倣彷昉瓬眆紡髣䲱訪","仿訪倣紡彷髣"
"fang4","妨放舫訪","放訪"
"fêi1","啡奜妃婓扉靟緋裶非飛馡騑騛霏","飛非扉霏妃"
"fêi2","厞淝肥痱腓萉𩇯","肥"
"fêi3","匪悱斐朏棐榧篚䨽翡吠","匪翡吠"
"fêi4","俷剕吠屝杮廢怫昲櫠沸㩌㵒炥狒疿癈𥄱䆏䉬翡肺𧕿䠊䤵陫霏靅𪎰鼥費","費沸廢翡吠肺"
"fen1","分兝吩帉枌棻𣬩𣯻氛瓰砏竕紛𦐈芬衯雰饙鳻墳","分吩墳紛芬"
"fen2","墳濆妢弅幩棼汾焚羒蕡蚡豶賁頒黂鼖","焚"
"fen3","扮粉","粉"
"fen4","坋忿僨奮憤拚瀵𤘝㿎糞餴分","奮分忿憤糞"
"feu2","浮烰粰蜉棓涪琈䱐罘","浮罘"
"feu3","否缶阜","否阜"
"fo5","缚𩅿𩌏縛","縛"
"fong1","丰夆妦峯崶楓灃烽㷭封犎瘋蜂豐酆鋒風𢓱飌諷峰","風楓諷瘋丰夆峰峯烽鋒蜂豐封"
"fong2","縫渢蠭逢馮","逢縫馮"
"fong4","縫諷唪俸奉賵鳳","奉俸諷鳳"
"fu1","夫俘痡孚桴孵尃怤懯敷泭柎玞砆䄮紨膚莩衃趺邞郛鄜鈇𩵩鳺𩿧麩","夫膚敷俘孚"
"fu2","苻扶枎𣿆稃符罘芙蚨袱颫鳧枹夫浮俘","扶芙夫符浮俘"
